Category Name,Sku,Width,Height,Depth
BASE OPEN & SPECIALTY CABINETS,BDD24 (Base decorative door),24,34 1/2,24
VANITY CABINETS,VSB24,24,34 1/2,21
VANITY CABINETS,VSB30,30,34 1/2,21
VANITY CABINETS,VSB36,36,34 1/2,21
VANITY CABINETS,CVSB30R (Combo Vanity Sink Base),30,34 1/2,21
VANITY CABINETS,CVSB30L (Combo Vanity Sink Base),30,34 1/2,21
VANITY CABINETS,VDB12,12,34 1/2,21
VANITY CABINETS,VDB15,15,34 1/2,21
VANITY CABINETS,VDD3021 (Vanity Desk Drawer trimmable to 24),30,21,21
TALL PANTRY CABINETS,UC1884 (Tall pantry cabinet),18,84,24
TALL PANTRY CABINETS,UC2484 (Tall pantry cabinet),24,84,24
TALL PANTRY CABINETS,UC1890 (Tall pantry cabinet),18,90,24
TALL PANTRY CABINETS,UC2490 (Tall panrty cabinet),24,90,24
TALL PANTRY CABINETS,UC1896 (Tall pantry cabinet),18,96,24
TALL PANTRY CABINETS,UC2496 (Tall pantry cabinet),24,96,24
OVEN CABINETS,OC3384 (Oven Cabinet),33,84,24
OVEN CABINETS,OC3390 (Oven Cabinet),33,90,24
OVEN CABINETS,OC3396 (Oven Cabinet),33,96,24
FILLERS & TOE KICKS,BF3,"3""","34 1/2""","3/4"""
FILLERS & TOE KICKS,BF6,"6""","34 1/2""","3/4"""
FILLERS & TOE KICKS,WF342,"3""","42""","3/4"""
FILLERS & TOE KICKS,WF642,"6""","42""","3/4"""
FILLERS & TOE KICKS,TF396 (Tall Filler),"3""","96""","3/4"""
FILLERS & TOE KICKS,TK8,"96""","4 1/2""","1/4"""
PANELS,DWR3 (DW panel),24,"34 1/2""","3/4"""
PANELS,REP396 (Ref. Panel),3,96,24
PANELS,3/4REP96 (Ref. Panel),3/4,96,24
PANELS,REP39630 (Ref. Panel),3,96,30
PANELS,BP4896 (Plain back panel),48,96,"1/8"""
PANELS,DBP4896 (Decorative back panel),48,96,"1/8"""
VALANCE,VAL48-A (Valance),6,3/4,1/2
MOLDINGS,CM96-A (Crown Molding),96,3 1/2,-
MOLDINGS,CM96-B (Crown Molding),96,4 1/2,-
MOLDINGS,LR8 (Light rail molding),8,1/2,1/2
MOLDINGS,SM8 (Scribe Molding),96,3/4,1/4
MOLDINGS,OCM8 (Outside Corner Molding),96,3/4,3/4
MOLDINGS,ICM8 (Inside Corner Molding),96,3/4,3/4
MOLDINGS,Shoe Molding,,,
MOLDINGS,Base Molding,,,
CORBELS & LEGS,CORBEL-A(59),,,
CORBELS & LEGS,LEG-A,,,
CORBELS & LEGS,LEG-B,,,
ROLL OUT TRAYS,ROT18 (Roll out tray),,,
ROLL OUT TRAYS,ROT24 (Roll out tray),,,
ROLL OUT TRAYS,ROT30 (Roll out tray),,,
ROLL OUT TRAYS,ROT36 (Roll out tray),,,
ACCESSORIES,BTC18 (Base Trash Can),,,
Sample Door(12X12),,,,
