Sku,Wide,Length,Depth,Weight
B09 (No drawer),25,37,5  1/2,36
B12,25,36  1/2,5  1/4,50
B15,25,36,5.5,56.5
B18,25,37,5  1/2,59
B21,24  3/4,36  1/4,6  1/2,65.5
B24,25,37,6  1/2,72
B27,28,36,6  1/2,75.5
B30,31,36,6  3/4,83
B33,32,36  1/2,6,92
B36,33,38  1/2,6  1/2,103
B39,32  1/2,41,8,105
B42,32  1/2,43  1/2,7,110.5
DB12,25,36  1/2,6  3/4,75
DB15,24  1/4,36,6  3/4,81
DB18,24,36,6  3/4,87
DB21,24  1/2,36  1/2,7  1/4,96.5
DB24,25,36  1/2,7.5,101
DB30,32,38,8  1/2,113
DB36,32  1/4,37  1/4,7  3/4,132
SB27,28,36,6,53
SB30,31,36,6,55
SB33,33,36,6,59
SB36,32  1/2,38  1/2,6,63
CSB36 (Corner Sink Base),35,37,7  3/4,70.5
LS36 (Lazy Susan),36,37,10  1/2,103
BBC36 (Blind Base),32  1/2,38,6  1/2,83
BBC42 (Blind Base),32  1/2,44,6  1/2,90
B30MW (Base Microwave Cabinet),31,36  1/2,5  1/2,73.5
AB24 (Angle Base),31,36,6  1/2,52.5
BES12 (Base Open Shelf),24  1/2,36  1/2,3  1/2,29.5
BDD24 (Base decorative door),24  1/2,32,5,52
