Sku,Wide,Length,Depth,Weight
WGD1230,11  3/4,29, 3 / 4,6
WGD1830,17  1/2,29, 3 / 4,9
WGD2430 (EA),11  3/4,29, 3 / 4,6.5
WGD3030 (EA),14  3/4,29, 3 / 4,7.5
WGD3630 (EA),17  3/4,29, 3 / 4,9
WGD1236,11  3/4,35, 3 / 4,7
WGD1836,17  1/2,35, 3 / 4,10.5
WGD2436 (EA),11  3/4,35, 3 / 4,7.5
WGD3036 (EA),14  3/4,35, 3 / 4,8.5
WGD3636 (EA),17  3/4,35, 3 / 4,10.5
WGD1242,11  3/4,41, 3 / 4,8
WGD1842,17  1/2,41, 3 / 4,12.5
WGD2442 (EA),11  3/4,41, 3 / 4,8.5
WGD3042 (EA),14  3/4,41, 3 / 4,10.5
WGD3642 (EA),17  3/4,41, 3 / 4,12
CWGD2430 (EA),14  3/4,29, 3 / 4,7
CWGD2436 (EA),14  3/4,35, 3 / 4,9
CWGD2442 (EA),14  3/4,41, 3 / 4,10.5
