Sku,Wide,Length,Depth,Weight
W3012,32,13,6  1/2,23
W301224,32,24  3/4,5  1/2,36.5
W3612,38,38,6,28.5
W361224,13  1/4,38,5  3/4,42.5
W3018,32,19,5,31
W301824,32,25,5  1/2,44.5
W3618,38,19,5  1/4,35
W361824,38,25,5  1/4,49.5
W2424,27,25,5,35
W242424,24  3/4,26.5,7,51
W3024,32,25,5  1/2,42
W302424,32,25,7,56.5
W3624,38,25,5  1/2,46
W362424,38,25  1/2,7,69
W930,33,13,5  1/2,22
W1230,32,13  1/2,6,26
W1530,16,32,5,29.5
W1830,18  1/2,32  1/2,5,32.5
W2130,22,32  1/2,5  1/4,36.5
W2430,25,32  3/4,5  1/4,42
W2730,27  1/2,33,5,45
W3030,30  1/2,32  1/4,5,48.5
W3330,35,31,5,51.5
W3630,38,31,5  1/2,56
W3930,41,31,5,59.5
W4230,44,31,5,65
WR1830 (Wine Rack),33,19,6,22.5
CDW2430 (Corner Diagonal Wall),33,20,8,52.5
WBC2430 (Blind Cabinet),32,25,5  1/4,39
WBC3030 (Blind Cabinet),32  1/2,31,5,45.5
WBC3630 (Blind Cabinet),38,31,5,54.5
WC2430 (90 Wall Corner),34.5,22  1/4,8  1/4,54.5
W936,13,38,5  1/2,26.5
W1236,13  1/2,38  1/2,6,30
W1536,16,38,5  1/2,34.5
W1836,19,38,5  1/2,38.5
W2136,22,38,5  1/4,42.5
W2436,25,38,5,48
W2736,28,38,5,53.5
W3036,31,38,5,56.5
W3336,34,38,5,62
W3636,37,38  1/2,5  1/4,64.5
W3936,41,37,5  1/2,70
W4236,44,37,5  1/2,73
WR1836 (Wine Rack),19,38  1/2,5,31
CDW2436 (Corner Diagonal Wall),20  1/4,39  1/4,7  1/2,61
WBC2436 (Blind Cabinet),25,38  1/2,5  1/2,44
WBC3036 (Blind Cabinet),31,38  1/2,6,54
WBC3636 (Blind Cabinet),37,38  1/4,5  1/2,62.5
WC2436 (90 Wall Corner),21,39,8  1/2,61
W942,13,44,5  1/2,31.5
W1242,13,44,6,35.5
W1542,15  3/4,44,5  1/2,40
W1842,18  3/4,44,5  1/4,44
W2142,21  3/4,43  1/2,5  1/4,51
W2442,25,44,5  1/4,58.5
W2742,28,44  1/4,5  1/4,62.5
W3042,31  1/2,44,5  1/4,68
W3342,34,44  1/2,5  1/4,72
W3642,36  1/2,44  1/4,5  1/4,78
W3942,40,44.5,5,80.5
W4242,43,44,5  1/4,85
CDW2442 (Corner Diagonal Wall),20,44,7  1/2,73.5
WBC2442 (Blind Cabinet),25,44  1/2,5,52
WBC3042 (Blind Cabinet),31,44 1/2,5,61
WBC3642 (Blind Cabinet),37,44  1/2,5,72
WC2442 (90 Wall Corner),22.5,45,8,74.5
WMW3018 (Microwave Cabinet),22,44  1/2,8,27.5
WES1230 (Wall Open Shelf),13,32  1/2,4,15
WES1236 (Wall Open Shelf),13,30,4,17
WES1242 (Wall Open Shelf),12  1/2,44,3  1/2,21
AW1230 (Angle Wall Cabinet),13,33,13,22
AW1236 (Angle Wall Cabinet),13,38,13,24.5
AW1242 (Angle Wall Cabinet),12  3/4,44,13,29.5
