Category Name,Sku,Width,Height,Depth
WALL CABINETS,W3012,30,12,12
WALL CABINETS,W301224,30,12,24
WALL CABINETS,W3612,36,12,12
WALL CABINETS,W361224,36,12,24
WALL CABINETS,W3018,30,18,12
WALL CABINETS,W301824,30,18,24
WALL CABINETS,W3618,36,18,12
WALL CABINETS,W361824,36,18,24
WALL CABINETS,W2424,24,24,12
WALL CABINETS,W3024,30,24,12
WALL CABINETS,W302424,30,24,24
WALL CABINETS,W3624,36,24,12
WALL CABINETS,W362424,36,24,24
WALL CABINETS,,,,
WALL CABINETS,W0930,9,30,12
WALL CABINETS,W1230,12,30,12
WALL CABINETS,W1530,15,30,12
WALL CABINETS,W1830,18,30,12
WALL CABINETS,W2130,21,30,12
WALL CABINETS,W2430,24,30,12
WALL CABINETS,W2730,27,30,12
WALL CABINETS,W3030,30,30,12
WALL CABINETS,W3330,33,30,12
WALL CABINETS,W3630,36,30,12
WALL CABINETS,W3930,39,30,12
WALL CABINETS,W4230,42,30,12
WALL CABINETS,,,,
WALL CABINETS,W0936,9,36,12
WALL CABINETS,W1236,12,36,12
WALL CABINETS,W1536,15,36,12
WALL CABINETS,W1836,18,36,12
WALL CABINETS,W2136,21,36,12
WALL CABINETS,W2436,24,36,12
WALL CABINETS,W2736,27,36,12
WALL CABINETS,W3036,30,36,12
WALL CABINETS,W3336,33,36,12
WALL CABINETS,W3636,36,36,12
WALL CABINETS,W3936,39,36,12
WALL CABINETS,W4236,42,36,12
WALL CABINETS,W0942,9,42,12
WALL CABINETS,W1242,12,42,12
WALL CABINETS,W1542,15,42,12
WALL CABINETS,W1842,18,42,12
WALL CABINETS,W2142,21,42,12
WALL CABINETS,W2442,24,42,12
WALL CABINETS,W2742,27,42,12
WALL CABINETS,W3042,30,42,12
WALL CABINETS,W3342,33,42,12
WALL CABINETS,W3642,36,42,12
WALL CABINETS,W3942,39,42,12
WALL CABINETS,W4242,42,42,12
WALL BLIND CORNER CABINETS,WBC2430 (Blind Cabinet),24,30,12
WALL BLIND CORNER CABINETS,WBC3030 (Blind Cabinet),30,30,12
WALL BLIND CORNER CABINETS,WBC3630 (Blind Cabinet),36,30,12
WALL BLIND CORNER CABINETS,WBC2436 (Blind Cabinet),24,36,12
WALL BLIND CORNER CABINETS,WBC3036 (Blind Cabinet),30,36,12
WALL BLIND CORNER CABINETS,WBC3636 (Blind Cabinet),36,36,12
WALL BLIND CORNER CABINETS,WBC2442 (Blind Cabinet),24,42,12
WALL BLIND CORNER CABINETS,WBC3042 (Blind Cabinet),30,42,12
WALL BLIND CORNER CABINETS,WBC3642 (Blind Cabinet),36,42,12
WALL DIAGONAL CORNER CABINETS,CDW2430 (Corner Diagonal Wall),24,30,12
WALL DIAGONAL CORNER CABINETS,CDW2436 (Corner Diagonal Wall),24,36,12
WALL DIAGONAL CORNER CABINETS,CDW2442 (Corner Diagonal Wall),24,42,12
WALL SQUARE CORNER CABINETS,WC2430 (90 Wall Corner),24,30,12
WALL SQUARE CORNER CABINETS,WC2436 (90 Wall Corner),24,36,23
WALL SQUARE CORNER CABINETS,WC2442 (90 Wall Corner),24,42,12
WALL MICROWAVE CABINETS,WMW3018 (Microwave Cabinet),30,18,12
ANGLE WALL CABINETS,AW1230 (Angle Wall Cabinet),12,30,12
ANGLE WALL CABINETS,AW1236 (Angle Wall Cabinet),12,36,12
ANGLE WALL CABINETS,AW1242 (Angle Wall Cabinet),12,42,12
WALL WINE RACK CABINETS,WR1830 (Wine Rack),18,30,12
WALL WINE RACK CABINETS,WR1836 (Wine Rack),18,36,12
WALL OPEN & SPECIALTY CABINETS,WES1230 (Wall End Shelf),12,30,12
