Category Name,Sku,Width,Height,Depth
WALL OPEN & SPECIALTY CABINETS,WES1236 (Wall End Shelf),12,36,12
WALL OPEN & SPECIALTY CABINETS,WES1242 (Wall End Shelf),12,42,12
WALL OPEN & SPECIALTY CABINETS,WDD1230 (Wall Decorative Door),12,30,-
WALL OPEN & SPECIALTY CABINETS,WDD1236 (Wall Decorative Door),12,36,-
WALL OPEN & SPECIALTY CABINETS,WDD1242 (Wall Decorative Door),12,42,-
GLASS DOORS,WGD1230,12,30,-
GLASS DOORS,WGD1830,18,30,-
GLASS DOORS,WGD2430,24,30,-
GLASS DOORS,WGD3030,30,30,-
GLASS DOORS,WGD3630,36,30,-
GLASS DOORS,WGD1236,12,36,-
GLASS DOORS,WGD1836,18,36,-
GLASS DOORS,WGD2436,24,36,-
GLASS DOORS,WGD3036,30,36,-
GLASS DOORS,WGD3636,36,36,-
GLASS DOORS,WGD1242,12,42,-
GLASS DOORS,WGD1842,18,42,-
GLASS DOORS,WGD2442,24,42,-
GLASS DOORS,WGD3042,30,42,-
GLASS DOORS,WGD3642,36,42,-
GLASS DOORS,CWGD2430,24,30,-
GLASS DOORS,CWGD2436,24,36,-
GLASS DOORS,CWGD2442,24,42,-
BASE CABINETS,B09 (No drawer),9,34 1/2,24
BASE CABINETS,B12,12,34 1/2,24
BASE CABINETS,B15,15,34 1/2,24
BASE CABINETS,B18,18,34 1/2,24
BASE CABINETS,B21,21,34 1/2,24
BASE CABINETS,B24,24,34 1/2,24
BASE CABINETS,B27,27,34 1/2,24
BASE CABINETS,B30,30,34 1/2,24
BASE CABINETS,B33,33,34 1/2,24
BASE CABINETS,B36,36,34 1/2,24
BASE CABINETS,B39,39,34 1/2,24
BASE CABINETS,B42,42,34 1/2,24
DRAWER BASE CABINETS,DB12,12,34 1/2,24
DRAWER BASE CABINETS,DB15,15,34 1/2,24
DRAWER BASE CABINETS,DB18,18,34 1/2,24
DRAWER BASE CABINETS,DB21,21,34 1/2,24
DRAWER BASE CABINETS,DB24,24,34 1/2,24
DRAWER BASE CABINETS,DB30,30,34 1/2,24
DRAWER BASE CABINETS,DB36,36,34 1/2,24
SINK BASE CABINETS,SB27,27,34 1/2,24
SINK BASE CABINETS,SB30,30,34 1/2,24
SINK BASE CABINETS,SB33,33,34 1/2,24
SINK BASE CABINETS,SB36,36,34 1/2,24
SINK BASE CABINETS,CSB36 (Corner Sink Base),36,34 3/4,24
